SrNo,Date,Sale Party,Quantity Sold,Sale Rate,Product,Grade,Company,Specific Grade,Purchase Party,Quantity Purchased,Purchase Rate
1,2020-01-01,Ghaziabad Vindhya Consumer Products Pvt Ltd,7000,87,1400MN,PP Moulding (40 Mfi),IOCL,PP,Lucknow Beacon Trading Co.,7000,86
2,2020-01-01,Gurugram Tapti Consumer Products Pvt Ltd,12000,85,F2001S,LL 1 Mfi Slip,Opal,LL,"Pearl Coast Polymers LLC (Dubai, UAE)",12000,83
3,2020-01-01,Hiral Polychem (Durgapur),12000,83,222NP,PP Moulding (12 Mfi),Borough,PP,"Marina Gate Polymers LLC (Dubai, UAE)",12000,80
4,2020-01-01,Faridabad Bluewave Chemplast,6000,88,Y50,PP Raffia,Gail,PP,"Huaxin Polychem Co., Ltd. (Tianjin, China)",6000,87
5,2020-01-01,Millennium Polymers Sports Goods (Dahej),11000,86,HNR100,PP Moulding,Sasol,PP,Kandla Crystal Plastics,11000,85
6,2020-01-01,Indore Crescent Adhesives Pvt Ltd,6000,88,17450,HD Injection Moulding (18 mfi),Dow,HD,Vector Coimbatore Polymers,6000,87
7,2020-01-01,Rajhans Mysuru Furniture Pvt Ltd,14000,85,T3804,LL Roto Moulding,Opal,LL,Rajhans Polychemicals,14000,82
8,2020-01-01,Neelkanth Footwear Pvt Ltd (Panipat),11000,83,2018N,LL 2 Mfi Non-Slip,Lotrene,LL,Ludhiana Shree Polychem,11000,81
9,2020-01-01,Nagpur Vindhya Packaging Pvt Ltd,8000,92,NH120IG,PP Moulding NP (20 Mfi),Nayara,PP,"Huaxin Polychem Co., Ltd. (Tianjin, China)",8000,91
10,2020-01-01,Everest Poly Hub (Navi Mumbai),13000,93,1925,LL 2 Mfi Slip,Tasnee,LL,Reliable Plastics,13000,90
11,2020-01-02,Neelkanth WaterTech Pvt Ltd (Jodhpur),14000,88,631CF,PP TQ,Borough,PP,"Sandshell Trading DMCC (Dubai, UAE)",14000,85
12,2020-01-02,Vapi Nexus Housewares Pvt Ltd,8000,90,B55,HD MBM,Gail,HD,"Pearl Coast Exim DMCC (Dubai, UAE)",8000,87
13,2020-01-02,Prime Renewables Pvt Ltd (Meerut),11000,88,EC7000,LD Lamination,Dow,LD,Noida Mahadev Polymart,11000,87
14,2020-01-02,Sahyadri Indore Coatings Pvt Ltd,9000,85,4025ZN,LD GP,Sabic,LD,Kanpur Kaveri Petrochem,9000,83
15,2020-01-02,Nagpur Heritage Moulders Pvt Ltd,12000,88,LD 5026,LD Milk Pouch,Lotrene,LD,Devika Polytrade (Ahmedabad),12000,86
16,2020-01-02,Nagpur Vindhya Packaging Pvt Ltd,8000,88,NH120IG,PP Moulding NP (20 Mfi),Nayara,PP,Tapti Polytrade,8000,85
17,2020-01-02,Mangaluru Orbit Footwear Pvt Ltd,8000,82,265MO,PPCP (7 Mfi),Borough,PP,"GreatWall Plastics Co., Ltd. (Shanghai, China)",8000,79
18,2020-01-02,Jaipur Shubham Housewares Pvt Ltd,9000,83,2103,LD Heavy Duty,Sasol,LD,Shakti Chemplast (Navi Mumbai),9000,81
