SrNo,Date,Sale Party,Quantity Sold,Sale Rate,Product,Grade,Company,Specific Grade,Purchase Party,Quantity Purchased,Purchase Rate
10000,2022-03-12,Kochi Stellar Textiles Pvt Ltd,6000,105,0725n,LD Heavy Duty,Tasnee,LD,Meerut Umiya Polytrade,6000,102
10001,2022-03-12,Ghaziabad Infinity Toys Pvt Ltd,10000,96,1030RG,PP Raffia,IOCL,PP,"Jumeirah Crest Petrochem DMCC (Dubai, UAE)",10000,95
10002,2022-03-12,Shreenath Polymers Adhesives (Ahmedabad),7000,102,6097,HD HM,Luban,HM,"BlueCrane Petrochem Corp. (Ningbo, China)",7000,100
10003,2022-03-12,Arham Exim,12000,103,7050,LL 2 Mfi Slip,Luban,LL,Pristine Vadodara Impex,12000,102
10004,2022-03-12,Urban Faridabad Medical Devices Pvt Ltd,10000,111,GX20,LD Lamination Plain Bag,Sabic,LD,"DragonGate Materials Trading Co. (Shanghai, China)",10000,108
10005,2022-03-13,Vapi Heritage Adhesives Pvt Ltd,9000,104,2100N,PP Moulding (12 Mfi),Luban,PP,"Jumeirah Crest Trading DMCC (Dubai, UAE)",9000,102
10006,2022-03-13,Sahyadri Polymers Toys (Indore),14000,105,HD150W,ABS,Lotte,ABS,Anand Durgapur Polytrade,14000,102
10007,2022-03-13,Siddhi Polymers Housewares (Kanpur),12000,110,7087,LL 1 Mfi Slip,Equate,LL,"Jinlong Petrochem Corp. (Ningbo, China)",12000,107
10008,2022-03-13,Nagpur Millennium Textiles Pvt Ltd,13000,100,F0118L,LL 1 Mfi Non-Slip,HMEL,LL,Kandla Crystal Plastics,13000,99
10009,2022-03-13,Anand Polymers Textiles (Pune),11000,104,MI45,ABS,Bhansali Engineering,ABS,Core Impex (Agra),11000,102
10010,2022-03-13,Galaxy Pune Pipes & Fittings Pvt Ltd,14000,105,1013NW8,Nylon,UBE,Nylon,Howrah Pacific Polymer Traders,14000,102
10011,2022-03-13,Allied Aurangabad WaterTech Pvt Ltd,8000,109,I56a200,HD Injection Moulding,Gail,HD,Bengaluru Umiya Polymer Traders,8000,107
10012,2022-03-13,Tapti Footwear Pvt Ltd (Indore),13000,105,LD 5026,LD Milk Pouch,Lotrene,LD,Galaxy Chemplast (Mysuru),13000,104
10013,2022-03-13,Rajhans Mysuru Furniture Pvt Ltd,9000,103,F02020,LL 2 Mfi Non-Slip,HPCL,LL,Core Impex (Agra),9000,102
10014,2022-03-13,Howrah Reliable Agro Plast Pvt Ltd,13000,104,528K,PP Thermoforming,Sabic,PP,Everest Poly Hub (Navi Mumbai),13000,102
10015,2022-03-13,Triveni Petrochem,13000,104,36RA045,LL Roto Moulding,RIL,LL,Mangalam Poly Solutions,13000,102
10016,2022-03-13,Navkar Mangaluru Buildtech Pvt Ltd,16000,107,204000,LD Lamination,Basell,LD,"Jinlong Petrochem Corp. (Ningbo, China)",16000,106
10017,2022-03-13,Kanha Polymers Industrials (Silvassa),11000,104,T9,HD Raffia,Haldia,HD,Arham Exim,11000,103
10018,2022-03-14,Pioneer Polymers Housewares (Mangaluru),11000,101,1013NW8,Nylon,UBE,Nylon,"Jumeirah Crest Petrochem DMCC (Dubai, UAE)",11000,100
10019,2022-03-14,Core Polymers Textiles (Noida),16000,102,6097,HD HM,Luban,HM,Kaveri Gurugram Petrochem,16000,100
10020,2022-03-14,Anand Polymers Moulders (Hyderabad),10000,102,M0861S,HD Injection Moulding (8 mfi),HMEL,HD,Krishna Trading Co. (Vasai),10000,99
10021,2022-03-14,Navkar Bhiwandi Electricals Pvt Ltd,10000,103,HTA001,HD Film,Exxon,HD,Anand Exim,10000,101
10022,2022-03-14,Galaxy Surat Polychemicals,13000,110,GRPLON30GF,30% Glass Filled Nylon,GRP,Nylon,Vertex Exim,13000,108
10023,2022-03-14,Tirupati Sports Goods Pvt Ltd (Silvassa),11000,102,J1020FA20,LD 2 Mfi Non-Slip,RIL,LD,Metro Exim (Tiruppur),11000,99
10024,2022-03-14,Indore Momentum Industrials Pvt Ltd,11000,105,HR003,PP Raffia,MRPL,PP,Pristine Vadodara Impex,11000,103
10025,2022-03-14,Heritage Polymers Electronics (Jaipur),15000,103,2427H,LD 2 Mfi Slip,Basell,LD,"Lianhua Plastics Co., Ltd. (Shanghai, China)",15000,102
10026,2022-03-14,Vapi Nexus Housewares Pvt Ltd,8000,104,FU5100 / M7100,HD Film,Lotte,HD,Ganga Chemplast (Surat),8000,103
10027,2022-03-14,Beacon Vadodara Coatings Pvt Ltd,13000,106,SRM100,PPCP,RIL,PP,Howrah Pacific Polymer Traders,13000,103
10028,2022-03-14,Ludhiana Millennium Stationery Pvt Ltd,12000,101,1200MC,PP Moulding (20 Mfi),IOCL,PP,"Marina Gate Polymers LLC (Dubai, UAE)",12000,98
10029,2022-03-15,Kolkata Core Toys Pvt Ltd,12000,105,528K,PP Thermoforming,Sabic,PP,Arham Exim,12000,102
10030,2022-03-15,Navkar Bhiwandi Electricals Pvt Ltd,13000,103,HTA001,HD Film,Exxon,HD,Pioneer Polytrade (Meerut),13000,100
10031,2022-03-15,Omkar Furniture Pvt Ltd (Thane),6000,98,Marlex 030,PP Raffia,Marlex,PP,"Marina Gate Polymers LLC (Dubai, UAE)",6000,97
10032,2022-03-15,Gurugram Sunrise Industrials Pvt Ltd,17000,107,HNR100,PP Moulding,Sasol,PP,"Jinlong Petrochem Corp. (Ningbo, China)",17000,104
10033,2022-03-15,Kochi Stellar Textiles Pvt Ltd,13000,105,HR033,PP Raffia,HPCL,PP,"Shengda Materials Trading Co. (Ningbo, China)",13000,102
10034,2022-03-15,Faridabad Siddhi Polymer Traders,11000,108,7042,LL 2 Mfi Non-Slip,Luban,LL,"Falaj Trading DMCC (Dubai, UAE)",11000,106
10035,2022-03-15,Ankleshwar Prime Housewares Pvt Ltd,15000,103,1820,LL 2 Mfi Non-Slip,Basell,LL,Hyderabad Bluewave Poly Solutions,15000,101
10036,2022-03-15,Narmada Buildtech Pvt Ltd (Noida),16000,103,851,HD HM,Sabic,HM,Bharat Polychemicals (Bhubaneswar),16000,101
10037,2022-03-15,Neelkanth WaterTech Pvt Ltd (Jodhpur),6000,103,2018N,LL 2 Mfi Non-Slip,Lotrene,LL,"Huanxin Petrochem Corp. (Xiamen, China)",6000,100
10038,2022-03-15,Neelkanth WaterTech Pvt Ltd (Jodhpur),9000,104,2518,LD 2 Mfi Non-Slip,Sabic,LD,"Shengda Materials Trading Co. (Ningbo, China)",9000,102
10039,2022-03-15,Sahyadri Indore Coatings Pvt Ltd,11000,105,LD002,LD Heavy Duty,RIL,LD,Panipat Sunbeam Polychemicals,11000,102
10040,2022-03-15,Dynamic Polymart (Indore),11000,103,H030TN,PP Thermoforming,Nayara,PP,Faridabad Siddhi Polymer Traders,11000,100
10041,2022-03-15,Gurugram Tapti Consumer Products Pvt Ltd,12000,100,Q1018H,LL 1 Mfi Slip,Lotrene,LL,"BlueCrane Petrochem Corp. (Ningbo, China)",12000,99
10042,2022-03-15,Sigma Mysuru Textiles Pvt Ltd,11000,98,W20,PP Raffia,Gail,PP,"GoldRiver Materials Trading Co. (Tianjin, China)",11000,96
10043,2022-03-15,Prime Coatings Pvt Ltd (Panipat),14000,105,121H,ABS,LG,ABS,Sigma Polychemicals (Meerut),14000,103
10044,2022-03-16,Vector Moulders Pvt Ltd (Daman),12000,108,1030MG,PP Moulding (3 Mfi),IOCL,PP,Meerut Umiya Polytrade,12000,107
10045,2022-03-16,Mumbai Allied Buildtech Pvt Ltd,17000,100,2050S,HD Injection Moulding (20 Mfi),HMEL,HD,"GreatWall Plastics Co., Ltd. (Shanghai, China)",17000,99
10046,2022-03-16,Agra Vindhya Sports Goods Pvt Ltd,12000,106,1100FS,PP TQ,IOCL,PP,Matrix Polytrade,12000,104
10047,2022-03-16,Aravali Chennai Toys Pvt Ltd,11000,104,2047A,LD GP,Sasol,LD,"Sandshell Trading DMCC (Dubai, UAE)",11000,101
10048,2022-03-16,Ghaziabad Sunbeam Automotive Components Pvt Ltd,13000,105,R0150S,HD Raffia,HMEL,HD,Urban Polytrade (Vasai),13000,104
10049,2022-03-16,Umiya Faridabad Footwear Pvt Ltd,13000,98,2100N,PP Moulding (12 Mfi),Luban,PP,"Falaj Trading DMCC (Dubai, UAE)",13000,95
10050,2022-03-16,Neelkanth Medical Devices Pvt Ltd (Nashik),8000,104,F20S,LL 1 Mfi Slip,Gail,LL,Ludhiana Shree Polychem,8000,102
10051,2022-03-16,Ankleshwar Prime Housewares Pvt Ltd,14000,104,5000W,ABS,Taita,ABS,"GoldRiver Materials Trading Co. (Tianjin, China)",14000,103
10052,2022-03-16,Prime Coatings Pvt Ltd (Panipat),7000,104,SC201LV,GPPS,Supreme,GPPS,Aristo Jaipur Polychem,7000,102
10053,2022-03-16,Navkar Mangaluru Buildtech Pvt Ltd,14000,106,456J,PP Raffia,Basell,PP,"Palm Vista Polymers LLC (Dubai, UAE)",14000,105
10054,2022-03-16,Kochi Stellar Textiles Pvt Ltd,11000,103,1110MG,PP Moulding (11 Mfi),IOCL,PP,"GreatWall Plastics Co., Ltd. (Shanghai, China)",11000,101
10055,2022-03-17,Narmada WaterTech Pvt Ltd (Thane),11000,104,F52H04,HD HM,Opal,HM,"Desert Dunes Petrochem DMCC (Dubai, UAE)",11000,102
10056,2022-03-17,Ghaziabad Infinity Toys Pvt Ltd,8000,113,Marlex 030,PP Raffia,Marlex,PP,Rajhans Polychemicals,8000,112
10057,2022-03-17,Sunrise Textiles Pvt Ltd (Kolkata),14000,100,528K,PP Thermoforming,Sabic,PP,"Shengda Materials Trading Co. (Ningbo, China)",14000,97
10058,2022-03-17,Neelkanth Medical Devices Pvt Ltd (Nashik),13000,104,1200YG,PP Thermoforming (20 Mfi),IOCL,PP,Panipat Sunbeam Polychemicals,13000,102
10059,2022-03-17,Urban Faridabad Medical Devices Pvt Ltd,13000,102,F20S,LL 1 Mfi Slip,Gail,LL,Kanha Exim,13000,100
10060,2022-03-17,Ghaziabad Vindhya Consumer Products Pvt Ltd,11000,103,205TF,PP Thermoforming,HPCL,PP,"Pearl Coast Exim DMCC (Dubai, UAE)",11000,101
10061,2022-03-17,Dynamic Polymart (Indore),14000,105,4023WN,LD GP,Sabic,LD,"Lianhua Plastics Co., Ltd. (Shanghai, China)",14000,102
10062,2022-03-17,Ghaziabad Sunbeam Automotive Components Pvt Ltd,12000,101,2100N,PP Moulding (12 Mfi),Luban,PP,"GreatWall Plastics Co., Ltd. (Shanghai, China)",12000,99
10063,2022-03-17,Navi Mumbai Unity Renewables Pvt Ltd,9000,109,Lotrene 0270,LD 2 Mfi Slip,Lotrene,LD,Aravali Trading Co.,9000,108
10064,2022-03-17,Shreenath Polymers Sports Goods (Ghaziabad),14000,100,GRPLON30GF,30% Glass Filled Nylon,GRP,Nylon,Udaipur Aravali Polymer Traders,14000,99
10065,2022-03-17,Momentum Footwear Pvt Ltd (Delhi),10000,103,5018L,LL Roto Moulding,HMEL,LL,"Huaxin Polychem Co., Ltd. (Tianjin, China)",10000,101
10066,2022-03-18,Kochi Stellar Textiles Pvt Ltd,7000,105,SH731,HIPS,Supreme,HIPS,Udaipur Narmada Polychem,7000,103
10067,2022-03-18,Indore Momentum Industrials Pvt Ltd,9000,96,Y35GR1,PP Lamination,HMEL,PP,Galaxy Surat Polychemicals,9000,95
10068,2022-03-18,Hiral Electronics Pvt Ltd (Haridwar),11000,109,F0148D,HD Medium Blow Moulding,HMEL,HD,Rajhans Silvassa Commodities,11000,106
10069,2022-03-18,Daman Umiya Agro Plast Pvt Ltd,11000,108,1881,HD HM,Titan,HM,Panipat Sunbeam Polychemicals,11000,105
